ADDACCOUNT 3885492750 8601 50678
ADDACCOUNT 3637681227 4129 74486
ADDACCOUNT 8208870473 2794 94672
ADDACCOUNT 6241676197 4322 37479
ADDACCOUNT 6470160306 6573 71216
ADDACCOUNT 2838945589 4012 11755
ADDACCOUNT 4807038448 5788 29432
ADDACCOUNT 3405979329 3557 49580
ADDACCOUNT 8905304832 8108 19393
ADDACCOUNT 6285208831 5450 48906
ADDACCOUNT 9235469919 9969 60062
ADDACCOUNT 3614765972 6858 47127
ADDACCOUNT 5826772997 1910 84038
ADDACCOUNT 7163060863 4077 34810
ADDACCOUNT 7455062874 9428 59872
ADDACCOUNT 3596474063 3526 17085
ADDACCOUNT 8748932025 4822 64715
ADDACCOUNT 1599924443 4098 6825
ADDACCOUNT 3626150029 4227 81224
ADDACCOUNT 2487494059 6646 23100
ADDACCOUNT 2989404290 2888 45134
ADDACCOUNT 2438952719 2479 91244
ADDACCOUNT 9375981985 1373 69282
ADDACCOUNT 4643839340 6719 56392
ADDACCOUNT 8102698645 7555 94602
ADDACCOUNT 3797580486 3781 75970
ADDACCOUNT 3883757473 6482 13928
ADDACCOUNT 1484643073 1460 55807
ADDACCOUNT 1699035231 3840 82533
ADDACCOUNT 4459969537 6220 33280
ADDACCOUNT 4730722593 5479 66876
ADDACCOUNT 5789922413 2635 59000
ADDACCOUNT 4624441229 5419 34241
ADDACCOUNT 2130846438 9358 72516
ADDACCOUNT 9784450512 1645 91967
ADDACCOUNT 4580576570 8288 12788
ADDACCOUNT 5888188424 3284 47292
ADDACCOUNT 2442707751 1168 46956
ADDACCOUNT 2228710710 7236 6285
ADDACCOUNT 3962343550 9983 68264
ADDACCOUNT 2390555486 8967 68825
ADDACCOUNT 5768390705 5263 34994
ADDACCOUNT 4555462574 7288 64518
ADDACCOUNT 6432290595 1942 80027
ADDACCOUNT 4338090908 5461 34476
ADDACCOUNT 1781670031 3706 64968
ADDACCOUNT 8342049983 6333 99518
ADDACCOUNT 6801666336 8124 75135
ADDACCOUNT 9202076597 4904 33648
ADDACCOUNT 7814112696 1390 75762
REFILL 0 0000000000 0000 0
BALANCE 5 2442707751 1168 0
BALANCE 10 1699035231 3840 0
BALANCE 15 8905304832 8108 0
DEPOSIT 33 6801666336 8124 900
WITHDRAW 33 5768390705 5263 4500
BALANCE 37 4459969537 6220 0
WITHDRAW 41 8102698645 7555 900
WITHDRAW 59 1781670031 3706 2050
BALANCE 60 9235469919 9969 0
BALANCE 67 9375981985 1373 0
DEPOSIT 72 4459969537 6220 250
DEPOSIT 79 4555462574 7288 450
BALANCE 88 4580576570 8288 0
WITHDRAW 96 8748932025 4822 4750
DEPOSIT 101 8905304832 8108 1150
BALANCE 106 8208870473 2794 0
DEPOSIT 115 2442707751 1168 600
BALANCE 116 2130846438 9358 0
BALANCE 120 1484643073 1460 0
DEPOSIT 122 3637681227 4129 600
DEPOSIT 129 3626150029 4227 800
DEPOSIT 141 6801666336 8124 1100
WITHDRAW 145 9235469919 9969 5100
WITHDRAW 154 3797580486 3781 250
WITHDRAW 156 2487494059 6646 4850
WITHDRAW 161 5768390705 5263 1850
BALANCE 163 9784450512 1645 0
DEPOSIT 192 8102698645 7555 1000
DEPOSIT 208 8208870473 2794 50
BALANCE 210 2487494059 6646 0
WITHDRAW 225 6241676197 4322 2950
WITHDRAW 230 9784450512 1645 1350
BALANCE 231 2838945589 4012 0
DEPOSIT 242 2390555486 8967 450
WITHDRAW 252 2989404290 2888 300
BALANCE 262 7455062874 9428 0
WITHDRAW 273 2442707751 1168 2800
WITHDRAW 283 1484643073 1460 50
BALANCE 288 3614765972 6858 0
DEPOSIT 289 8748932025 4822 300
DEPOSIT 306 3797580486 3781 200
DEPOSIT 307 3596474063 3526 250
DEPOSIT 308 3626150029 4227 700
DEPOSIT 310 6432290595 1942 850
WITHDRAW 320 1599924443 4098 100
DEPOSIT 321 9784450512 1645 300
WITHDRAW 333 2438952719 2479 5300
DEPOSIT 334 2487494059 6646 650
WITHDRAW 340 8905304832 8108 900
BALANCE 340 3883757473 6482 0
WITHDRAW 344 3962343550 9983 1600
DEPOSIT 345 8342049983 6333 250
BALANCE 347 3797580486 3781 0
BALANCE 348 6470160306 6573 0
BALANCE 349 4624441229 5419 0
BALANCE 351 5888188424 3284 0
WITHDRAW 355 9375981985 1373 4300
WITHDRAW 355 5888188424 3284 5050
DEPOSIT 362 2228710710 7236 0
DEPOSIT 366 3885492750 8601 100
WITHDRAW 366 7455062874 9428 750
WITHDRAW 371 2838945589 4012 4350
DEPOSIT 372 8748932025 4822 700
DEPOSIT 378 4580576570 8288 800
WITHDRAW 378 2390555486 8967 200
WITHDRAW 396 4338090908 5461 2400
DEPOSIT 404 2989404290 2888 800
BALANCE 409 1599924443 4098 0
BALANCE 417 4730722593 5479 0
WITHDRAW 428 8208870473 2794 2050
WITHDRAW 428 5826772997 1910 1850
DEPOSIT 448 5768390705 5263 550
WITHDRAW 457 3626150029 4227 400
BALANCE 461 6801666336 8124 0
BALANCE 465 2438952719 2479 0
WITHDRAW 474 7814112696 1390 4050
BALANCE 478 3405979329 3557 0
DEPOSIT 482 2487494059 6646 500
BALANCE 483 2228710710 7236 0
DEPOSIT 490 1699035231 3840 800
BALANCE 495 5768390705 5263 0
BALANCE 496 7814112696 1390 0
DEPOSIT 522 2438952719 2479 900
WITHDRAW 531 2390555486 8967 1050
WITHDRAW 535 6285208831 5450 4650
DEPOSIT 548 9375981985 1373 300
DEPOSIT 553 6285208831 5450 500
DEPOSIT 554 9235469919 9969 250
DEPOSIT 558 5826772997 1910 1250
DEPOSIT 560 7455062874 9453 750
WITHDRAW 565 1781670031 3706 1600
BALANCE 568 3962343550 9983 0
BALANCE 569 6285208831 5450 0
WITHDRAW 571 8342049983 6333 3000
BALANCE 577 7163060863 4077 0
DEPOSIT 578 3883757473 6482 800
DEPOSIT 589 3962343550 9983 1050
WITHDRAW 595 3596474063 3526 2800
DEPOSIT 606 7163060863 4077 50
WITHDRAW 606 6432290595 1942 2650
